X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P
,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
Y,1,1,,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,,,,,Y
Y,,1,1,1,1,1,1,,1,1,1,1,,1,1,2,2,,,,,,,,,,,1,1,1,1,,1,1,,1,1,1,1
X,,1,1,,,,1,1,1,1,1,1,,1,1,,2,2,2,2,2,2,2,,1,1,1,1,,1,1,,1,1,1,1,,1,1
,,1,1,,,,1,1,,,,1,1,1,1,,,,,,,,2,1,1,,1,1,,1,1,1,1,,1,1,,1,1
,,,1,1,1,1,1,1,,,,1,1,,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,,1,1,,1,1,1,1,
,,,1,1,,,,1,1,1,1,1,1,,1,1,,,1,1,,1,1,1,1,1,1,,1,1,,1,1,1,1,,1,1,
,,,1,1,1,1,,1,1,,,,1,1,1,1,1,1,1,1,,1,1,,,1,1,,1,1,1,1,,1,1,,1,1,
,,,,,,1,1,1,1,1,1,,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,,
,,,,,,1,1,,,,1,1,1,1,1,1,1,1,,,,,,1,1,,,1,1,,1,1,1,1,,1,1,,
,,,,,,1,1,,,,1,1,,,,,,1,1,2,2,2,2,1,1,1,1,1,1,1,1,,1,1,,1,1,,
,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,,,,,,,1,1,,,1,1,,1,1,1,1,,,
,,,,,,,1,1,,,,,,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,1,1,,,
,,,,,,,1,1,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,1,,1,1,,,
,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,,,,
,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,1,1,,,,,,,1,1,,,,
,,,,,,,,,,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,,,,
,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,
,,,,,,,,,,,,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,,,,,,,,,,
,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
