Y,Y,Y,P,X,X,X,P,X,S,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,S,X,X,X,S,X,X,X,X,X,X,X,X,X,X,X,P,X,S,X,X,X,S,X,X,X,X,X,X,X,S,X,P,Y,Y,Y,,,,,,,,,,,
X,,P,X,,,P,X,S,X,,,P,X,,,P,X,,,P,X,,,S,X,,,S,X,,,,,,,,,,,P,X,S,X,,,S,X,,,,,,,S,X,,,,,,,,,,,,,,,,
,,Y,P,X,S,X,P,X,S,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,S,X,P,X,S,X,X,X,X,X,X,X,X,X,P,X,P,X,S,X,P,X,S,X,P,X,X,X,P,X,S,X,P,X,X,X,P,X,P,Y,,,,,,,Y
,,Y,,S,X,,,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,,,,,,,,,P,X,,,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,,,,,,,,
,,Y,,Y,S,X,P,X,X,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,X,X,X,X,X,X,X,X,P,X,P,X,X,X,P,X,P,X,S,X,P,X,S,X,P,X,X,X,P,X,P,X,P,X,P,Y,,,,,,,Y
,,X,,Y,,P,X,,,,,P,X,,,P,X,,,P,X,,,P,X,,,,,,,,,,,P,X,,,,,P,X,,,S,X,,,S,X,,,,,,,P,X,,,,,,,,,,,,
,,,,Y,,Y,P,X,X,X,P,X,P,X,S,X,P,X,P,X,P,X,P,X,P,X,X,X,X,X,X,X,X,X,P,X,P,X,X,X,P,X,P,X,P,X,S,X,X,X,S,X,S,X,X,X,S,X,P,,,,,,,,,,,,
,,,,X,,Y,,,,P,X,,,S,X,,,P,X,,,P,X,,,,,,,,,,,P,X,,,,,P,X,,,P,X,,,,,,,S,X,,,S,X,,X,,,,,,,,,,,,
,,,,,,Y,,Y,Y,Y,P,X,P,X,S,X,S,X,P,X,S,X,P,X,X,X,X,X,S,X,X,X,S,X,P,X,X,X,P,X,P,X,P,X,P,X,S,X,X,X,X,X,S,X,P,X,S,,P,,,,,,,,,,,,
,,,,,,X,,X,,,,P,X,,,S,X,,,S,X,,,,,,,S,X,,,S,X,,,,,P,X,,,P,X,,,S,X,,,,,,,P,X,,X,,Y,,,,,,,,,,,,
,,,,,,,,,X,Y,Y,Y,P,X,S,X,S,X,P,X,S,X,X,X,X,X,P,X,S,X,P,X,S,X,P,X,S,X,P,X,P,X,P,X,X,X,S,X,P,X,X,X,X,X,P,,P,,Y,,,,,,,,,,,,
,,,,,,,,,,,,,,S,X,,,P,X,,,,,,,P,X,,,P,X,,,P,X,S,X,,,P,X,,,,,,,P,X,,,,,,X,,Y,,Y,,,,,,,,,,,,
,,,,,,,,,,,X,Y,Y,Y,S,X,P,X,P,X,S,X,X,X,S,X,P,X,S,X,P,X,X,X,P,X,S,X,P,X,P,X,P,X,X,X,X,X,P,,,,,,P,,Y,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,P,X,,,S,X,,,S,X,,,S,X,,,,,,,,,P,X,,,P,X,,,,,,X,,,,,,Y,,Y,,,,,,,,,,,,,,
,,,,,,,,,,,,,X,Y,Y,Y,P,X,P,X,S,X,P,X,S,X,X,X,S,X,P,X,X,X,X,X,X,X,P,X,P,X,P,Y,Y,Y,,,P,,,,,,Y,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,P,X,,,P,X,,,,,,,P,X,,,,,,,,,P,X,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,X,Y,Y,Y,P,X,S,X,P,X,S,X,X,X,X,X,P,X,P,X,X,X,X,X,X,X,P,X,P,Y,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,S,X,,,S,X,,,,,,,P,X,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,X,Y,Y,Y,S,X,P,X,S,X,P,X,X,X,X,X,P,X,P,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,P,X,,,P,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,X,Y,Y,Y,P,X,P,X,P,X,P,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,P,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,X,Y,Y,Y,P,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
