,X,Y,Y,Y,S,X,X,X,X,X,X,X,S,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,P,X,P
,,,,S,X,,,,,,,S,X,,,,,,,,,P,X,,,,,,,P,X,,Y
Y,Y,Y,P,X,S,X,P,X,X,X,P,X,S,X,P,X,X,X,P,X,S,X,P,X,X,X,X,X,P,X,P,,Y
X,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,S,X,,,,,,,P,X,,X,,Y
,,Y,P,X,P,X,P,X,P,X,P,X,S,X,P,X,S,X,P,X,S,X,S,X,X,X,S,X,P,,P,,
,,Y,,P,X,,,P,X,,,S,X,,,S,X,,,,,S,X,,,S,X,,X,,Y,,
,,Y,,Y,P,X,P,X,P,X,P,X,S,X,X,X,S,X,X,X,X,X,S,X,P,X,S,,P,,Y,,
,,X,,Y,,P,X,,,P,X,,,,,,,,,,,,,P,X,,X,,Y,,Y,,
,,,,Y,,Y,P,X,P,X,P,X,X,X,S,X,X,X,X,X,X,X,S,X,P,,P,,Y,Y,,,
,,,,X,,Y,,P,X,,,,,S,X,,,,,,,S,X,,Y,,Y,Y,,,,,
,,,,,,Y,,Y,P,X,X,X,X,X,S,X,P,X,X,X,X,X,S,,Y,Y,,Y,,,,,
,,,,,,X,,Y,,,,,,,,P,X,,,,,,Y,Y,,,,,,,,,
,,,,,,,X,Y,,,,,X,Y,Y,Y,P,X,P,Y,Y,Y,,Y,,,,,,,,,
