X,R,R,R,R,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,X,X,X,P,R,R,R,R,X
,,,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,,,
X,R,R,R,R,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,R,R,R,R,X
,,,,,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,,,,,
,,X,R,R,R,R,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,R,R,R,R,X,,
,,,,,,,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,,,,,,,
,,,,X,R,R,R,R,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,R,R,R,R,X,,,,
,,,,,,,,,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,,,,,,,,,
,,,,,,X,R,R,R,R,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,X,P,R,R,R,R,X,,,,,,
,,,,,,,,,,,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,P,X,,,,,,,,,,,,,
