X,,Y,Y,X,,X,X,X,X,,,X,X,X,X,,,X,X,X,X,,,X,X,X,X,X,X,X,X,Z,Z,Z,Z,X,X,X,X,Z,Z,X,X,X,X,,X,X,X
Y,,Y,,X,S,X,,,X,X,X,X,,,X,X,S,X,,,X,X,X,X,,,,,,,X,X,P,X,X,X,Z,Z,X,X,X,X,Z,Z,X,X,P,,P
Y,,X,,S,X,Z,,,,,,,,,,S,X,,,,,,,,,,,,,,,P,X,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,P,X,,X
Y,X,,X,X,S,X,,,X,X,X,X,,,X,X,S,X,,,X,X,X,X,,,,,,,X,X,P,X,X,X,Z,Z,X,X,X,X,Z,Z,X,X,P,,X
,X,P,X,,,X,X,P,X,,,X,X,P,X,,,X,X,P,X,,,X,X,P,X,X,X,S,X,Z,Z,Z,Z,X,X,X,X,Z,Z,X,X,P,X,,X,,Y
,P,X,,,,,P,X,,,,,P,X,,,,,P,X,,,,,P,X,,,S,X,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,P,X,,,X,,Y
,X,P,X,,,X,X,P,X,,,X,X,P,X,,,X,X,P,X,,,X,X,P,X,X,X,S,X,Z,Z,Z,Z,X,X,X,X,Z,Z,X,X,P,,,X,,Y
,X,,X,X,P,X,,,X,X,P,X,,,X,X,S,X,,,X,X,S,X,,,,,,,X,X,S,X,X,X,Z,Z,X,X,S,X,,X,,,P,,
,Y,,,P,X,,,,,P,X,,,,,S,X,,,,,S,X,,,,,,,,,S,X,Z,Z,Z,Z,Z,Z,S,X,,,X,,,X,,
,Y,,,X,P,X,,,X,X,P,X,,,X,X,S,X,,,X,X,S,X,,,,,,,X,X,S,X,X,X,Z,Z,X,X,S,,,X,,,X,,
,Y,,,X,,X,X,P,X,,,X,X,P,X,,,X,X,X,X,,,X,X,X,X,X,X,X,X,Z,Z,Z,Z,X,X,P,X,,X,,,P,,,Y,,
,X,,,Y,,,P,X,,,,,P,X,,,,,,,,,,,,,,,,,,,,,,,P,X,,,X,,,X,,,Y,,
,,,,Y,,,X,P,X,,,X,X,P,X,,,,,,,X,X,X,X,,,,,,,,,,,X,X,P,,,X,,,X,,,Y,,
,,,,Y,,,X,,X,X,P,X,,,X,X,X,X,X,X,S,X,,,X,X,X,X,X,X,X,X,X,X,S,X,,X,,,P,,,Y,,,,,
,,,,X,,,Y,,,P,X,,,,,,,,,S,X,,,,,,,,,,,,,S,X,,,X,,,X,,,Y,,,,,
,,,,,,,Y,,,X,P,X,,,X,X,X,X,X,X,S,X,,,X,X,X,X,X,X,X,X,X,X,S,,,Y,,,X,,,Y,,,,,
,,,,,,,Y,,,X,,X,X,X,X,,,,,,,X,X,P,X,,,,,,,,,,X,,,Y,,,Y,,,,,,,,
,,,,,,,X,,,Y,,,,,,,,,,,,,P,X,,X,X,Y,,,,,,,X,,,Y,,,Y,,,,,,,,
,,,,,,,,,,Y,,,,,,,,,,,,X,X,P,,P,,Y,,,,,,,Y,,,,,,Y,,,,,,,,
,,,,,,,,,X,Y,,,,,,,,,X,Y,Y,Y,,X,X,X,,Y,,,,,,,Y,Y,,,,,,,,,,,,,
